作品ID,作品名,ジャンル,配給社,レーティング,公開日,終映日,上映日数,動員数合計,興行収入合計,レイト上映有無
M0281,(応)KING OF PRISM -Dramatic PRISM.1-,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-02-28,2025-12-31,307,109,206400,False
M0282,(吹替)シャッフル・フライデー,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-09-05,2025-09-25,21,145,203200,True
M0283,MANKAISTAGE「A3!」ACT3! 2025 LV4/12・13,その他,株式会社ポニーキャニオン,G,2025-04-12,2025-05-10,29,53,196100,False
M0284,MLB「カブス vs. ドジャース」LV3/18・19,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-03-18,2025-03-19,2,53,192400,False
M0285,(字)ﾋﾞｭｰﾃｨﾌﾙ･ｼﾞｬｰﾆｰ　ふたりの時空旅行,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-12-19,2025-12-31,13,132,190780,True
M0286,(字幕)羅小黒戦記２ ぼくらが望む未来,邦画アニメ,株式会社アニプレックス,G,2025-11-07,2025-11-20,14,127,190580,False
M0287,ｱﾝｼﾞｭﾙﾑ10thAnniversarytour2025春LV6/18,邦画実写,株式会社ティ・ジョイ,G,2025-06-18,2025-06-18,1,47,188000,False
M0288,銀魂まるちばーす祭りLV 8/16,邦画実写,株式会社ティ・ジョイ,G,2025-08-16,2025-08-16,1,39,187200,False
M0289,SEVENTEEN…[NEW_]INJAPANLV12/12,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-12-12,2025-12-12,1,34,187000,False
M0290,THEORALCIGARETTES…2025 THE MOVIE10/11,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-10-11,2025-10-11,1,49,186200,False
M0291,男神,邦画実写,東京テアトル株式会社,G,2025-09-19,2025-10-09,21,126,183000,True
M0292,NiziU Live with U 2024-2025LV 2/22,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-02-22,2025-02-22,1,43,183000,False
M0293,hololive 6th fes. ｱﾌﾀｰ上映 STAGE1　9/5,邦画実写,株式会社ティ・ジョイ,G,2025-09-05,2025-09-05,1,40,180000,False
M0294,(応援上映/字幕)ウィキッド　ふたりの魔女,その他,東宝東和株式会社,G,2025-03-21,2025-03-23,3,121,177380,False
M0295,HYBE CINEMA NORAEBANG,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-15,2025-08-05,22,74,159500,False
M0296,蒼穹のファフナー Symphony…2025LV5/1・2,邦画実写,株式会社ティ・ジョイ,G,2025-05-01,2025-05-02,2,31,155000,False
M0297,(吹替)モアナと伝説の海2,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-02-22,2025-02-24,3,110,152870,False
M0298,劇映画　孤独のグルメ,邦画実写,東宝株式会社,G,2025-02-21,2025-03-06,14,102,142300,True
